CityMuniPSGC,CityMunRes
PH043401000,ALAMINOS
PH043402000,BAY
PH043403000,CITY OF BIÑAN
PH043404000,CABUYAO CITY
PH043405000,CITY OF CALAMBA
PH043406000,CALAUAN
PH043407000,CAVINTI
PH043408000,FAMY
PH043409000,KALAYAAN
PH043410000,LILIW
PH043411000,LOS BAÑOS
PH043412000,LUISIANA
PH043413000,LUMBAN
PH043414000,MABITAC
PH043415000,MAGDALENA
PH043416000,MAJAYJAY
PH043417000,NAGCARLAN
PH043418000,PAETE
PH043419000,PAGSANJAN
PH043420000,PAKIL
PH043421000,PANGIL
PH043422000,PILA
PH043423000,RIZAL
PH043424000,SAN PABLO CITY
PH043425000,CITY OF SAN PEDRO
PH043426000,SANTA CRUZ (CAPITAL)
PH043427000,SANTA MARIA
PH043428000,CITY OF SANTA ROSA
PH043429000,SINILOAN
PH043430000,VICTORIA
